query,run_a,run_b,program_a,program_b,gene_jaccard,name_similarity,combined_similarity,overlap_count,genes_a_count,genes_b_count,is_match
Cluster_0,20251216_203354,20251216_214706,Glutamate Signaling and Neurotransmitter Homeostasis,Ion Homeostasis and Intracellular Calcium Regulation,0.16666666666666666,0.2222222222222222,0.18333333333333332,2,6,8,False
Cluster_0,20251216_203354,20251216_214706,Glutamate Signaling and Neurotransmitter Homeostasis,Glutamate Metabolism and Synaptic Homeostasis,0.15384615384615385,0.42857142857142855,0.23626373626373626,2,6,9,False
Cluster_0,20251216_203354,20251216_214706,Glutamate Signaling and Neurotransmitter Homeostasis,Cytoskeletal Dynamics and Process Motility,0.0,0.1111111111111111,0.03333333333333333,0,6,11,False
Cluster_0,20251216_203354,20251216_214706,Glutamate Signaling and Neurotransmitter Homeostasis,Cell Adhesion and Extracellular Matrix Interactions,0.0,0.1,0.03,0,6,10,False
Cluster_0,20251216_203354,20251216_214706,Glutamate Signaling and Neurotransmitter Homeostasis,Gap Junction Communication and Astrocyte Network Integration,0.0,0.09090909090909091,0.02727272727272727,0,6,2,False
Cluster_0,20251216_203354,20251216_214706,Glutamate Signaling and Neurotransmitter Homeostasis,Lipid Metabolism and Apolipoprotein-E Signaling,0.0,0.25,0.075,0,6,8,False
Cluster_0,20251216_203354,20251216_214706,Glutamate Signaling and Neurotransmitter Homeostasis,Reactive Astrocyte Transformation and Neuroinflammation,0.0,0.1111111111111111,0.03333333333333333,0,6,7,False
Cluster_0,20251216_203354,20251216_214706,Glutamate Signaling and Neurotransmitter Homeostasis,Calcium Signaling and Metabolic Adaptation,0.0,0.25,0.075,0,6,2,False
Cluster_0,20251216_203354,20251216_214706,Glutamate Signaling and Neurotransmitter Homeostasis,Transcriptional Control of Differentiation and Stem Cell Maintenance,0.0,0.08333333333333333,0.024999999999999998,0,6,5,False
Cluster_0,20251216_203354,20251216_214706,Glutamate Signaling and Neurotransmitter Homeostasis,Mitochondrial Quality Control and Senescence Prevention,0.0,0.1,0.03,0,6,2,False
