ID,name,gene_list,context,GSE
,Cluster_0,"FAM189A2,OGFRL1,MAP3K5,ITPR2,ETNPPL,NRG3,CD38,FMN2,LINC01088,KCNN3,DAAM2,AC002429.2,OBI1-AS1,NTRK2,SYTL4,WDR49,ADGRV1,LIFR,AQP4,ID3,OSBPL11,DPP10,SERPINI2,TLR4,NAA11,MGAT4C,AC026316.5,EEPD1,RASSF4,AL392086.3,SLC4A4,EDNRB,SLC39A11,ATP1A2,SLCO1C1,AHCYL2,SPON1,SLC1A3,GRAMD2B,DTNA,AC012405.1,NKAIN3,NTM,SLC14A1,DCLK2,DCLK1,ID4,AC124854.1,LINC01094,PCDH9,GABBR2,PARD3B,PDE8A,LRIG1,C5ORF64,RNF19A,SPARCL1,AC093535.1,FADS2,PLEKHA5,ASTN2,ADAMTS9,AC073941.1,SLC24A4,PAPPA,AC068587.4,FARP1,SORL1,ARHGAP26,CADPS,ST3GAL6,ITPKB,GABRB1,FAM107A,MIR99AHG,ANK2,AC107223.1,PPP2R2B,LPL,AL589935.1,MRVI1,TNIK,AL160272.1,AC016766.1,RANBP3L,ARHGEF4,ADCY2,NPL,KCNQ5,AC079352.1,LIX1,APOE,SLC25A48,ADCYAP1R1,AHCYL1,RASL12,GINS3,PTPRG,AL096709.1,BMP2K,MCF2L2,RBMS3,SLCO3A1,AL445426.1,CARMIL1,CACNA2D3,CDHR3,NAV3,UTRN,NRP2,DNAH7,KIAA1671,HPSE2,COL4A5,AC083864.5,L3MBTL4,AC092131.1,PCSK6,AC097450.1,ANOS1,SYNPO2,LINC00836,MAPK4,AL365259.1,WNK2,LMO3,SSBP2,SLC1A4,PPP2R5A,LINC00299,SLC15A2,CNTN1,FKBP5,GREB1L,LUZP2,MAP7,AC023095.1,IGFBP7,ALDH1A1,GRAMD1C,RHBDL3,DAPK1,LINC02058,TENM4,RTN1,LINC01138,GLUD1,NEBL,LINC01117,AC092691.1,TJP2,PCDH9-AS2,YAP1,ABCC9,LAMA1,AL137024.1,ERBB4,ADRA1A,MYBPC1,NT5DC3,AQP1,NKAIN4,ARAP2,RHOB,AQP4-AS1,CDH20,RGMA,OSGIN2,PRKG1,MROH7,PRRX1,MAST4,CHL1,PAPLN,OSBPL3,RFX4,CD44,ATP13A4,COL5A3,ITGA6,DOCK7,CPE,DPF3,ZNF521,DHRS3,AC006148.1,LMNTD1,AC092924.2,LHFPL6,AC024145.1,LIMCH1,SRPX2,AL590999.1,ADCY8,AC008957.2,TTYH2,GJA1,SHROOM3,USH1C,AC007262.2",,
,Cluster_1,"TNC,CD44,VCL,SAMD4A,IGFBP7,DEC1,ELL2,CADPS,ACTN1,GBP2,BCL6,GLIS3,EMP1,SERPINA3,NAMPT,TPST1,GAP43,NEAT1,SPOCD1,GFAP,MAP3K14,FN1,CLIC4,PDE8B,MAP1B,TENM4,SOD2,SORBS1,ANXA2,VMP1,PGM2L1,SERPINE1,FOSL2,ZFP36,WWTR1,GADD45A,CCN1,CNN3,HAS2,F3,RASD1,PRRX1,BAALC,TCIM,LYST,RFTN1,FRMD5,GBP1,MAN1C1,NRP2,TIMP3,HRH1,ZFP36L2,YBX3,CCL2,GLUL,PFKFB3,JUNB,MAPK4,CDH11,DCLK1,SPRED1,NEDD9,SAT1,LPAR1,LMO2,ARID5B,ARHGEF3,STAT3,ETV6,LMCD1,DTNA,BTBD11,ARHGAP29,GEM,FOS,TGFB2,CLU,KLF6,COL4A1,PALLD,CAMK2D,TPM4,TIPARP,GADD45B,UBASH3B,TRIO,NAV2,ITPKB,PRUNE2,EGR1,CLCF1,IFI16,MYOF,DPYD,ABCC3,CHI3L1,NRCAM,SOCS3,NIBAN1,RNF19A,LINC02821,COL8A1,A2M,NFATC2,MIR4435-2HG,ARID5A,PITPNC1,NR4A3,CLIP1,NOS1AP,CEBPD,PLSCR1,PMP2,ATF3,NUDT4,OSMR,CNR1,C1R,RDH10,PROS1,RETREG1,RPE65,SLC39A14,FNDC3B,ANO6,TANC1,IQGAP2,IL6R,FOSB,IL1RAP,ITPR2,ADAMTS9,FBXO32,ITGAV,IL1R1,VIM,SPARCL1,SLC44A3,KLF7,TGFBR2,ZNF385D,ELMOD1,JUN,GPR158,MARCH3,AC092131.1,EFEMP1,EDNRA,AC092691.1,P3H2,CITED1,C11ORF96,GALNT2,RCAN1,ITPKC,COL4A2,GPC6,C3,CNTNAP3B,RDH10-AS1,ADAM12,CHL1,BTG2,GALNT15,NFIL3,MYO1E,DUSP1,IFFO2,PHLDB2,SCARA3,CYTOR,AL596087.2,BAALC-AS1,FAM20C,NNMT,STK40,LINC01138,SULF1,FMN2,CFI,PDPN,IRS2,HIF1A,ID1,HLA-E,ITGA3,DOK5,PDLIM5,CXCL2,MRTFB,DPYD-AS1,MFHAS1,MCL1,EGR3,ELOVL5,LTF,CRISPLD1,GFPT2,LINC00698",,
,Cluster_2,"DPP6,CHST11,MAP3K1,SLC24A3,NRXN1,REV3L,KAT2B,TNR,PTPRZ1,LRRTM4,SEZ6L,SOX2-OT,CSMD1,LHFPL3,SEMA5A,RGS7,MMP16,LRRC4C,LRRN1,MTSS1,KCNIP1,KCND2,PTPRD,NXPH1,NTRK3,WSCD1,XYLT1,PDGFRA,CDH10,DLG2,PCDH9,OPCML,PLPPR1,AC007402.1,AC023480.1,LHFPL3-AS1,CA10,MPPED2,NTM,RAB31,GRM5,SRGAP2,FGF14,MAP2,OLIG1,KCNMB2,TNK2,SOX5,ZEB1,SLC2A13,SH3D19,SNTG1,ANK3,CNTN1,AMZ1,ARHGAP42,CSPG5,PDE4B,PID1,DCC,NCALD,PLEKHH2,SNX22,RIMS1,SYN3,MDGA2,STXBP5L,IGSF21,STK32A,ANKS1B,SHC3,GAD1,LINC01322,FAM155A,AL589740.1,SCN1A,SPATA6,CSRNP3,ESRRG,AC013265.1,LDLRAD3,DOCK9,NOVA1,DISC1,UNC80,USP54,PRKCA,KCNIP4,PANTR1,SLC35F1,CDH20,PDZD2,KIF13A,KLF12,EGFR,DENND2A,ETV5,NLGN4X,PEAK1,CNTN6,NSG2,NCKAP5,PHLPP1,ARHGAP20,SH3KBP1,SLAIN1,CTNNA2,SGK1,COL20A1,BRINP3,RIMS2,MEGF11,PTPRO,EPN2-AS1,SCD5,MYO10,SCN3A,CASK,MYO5C,MYT1,LUZP2,CD82,BRINP2,SGIP1,NAV2,CSMD3,ARFGEF3,GSG1L,EYA1,AC117464.1,GLCCI1,GALNT10,AC091885.2,TRIB2,UNC79,SUSD4,AGMO,AC068308.1,SPSB4,AC064875.1,LRRK2,SLC4A10,LRRTM3,LRP4,LRP1B,ZCCHC24,TMEM196,AC004852.2,PLPP4,GRAMD1B,CRISPLD2,AC092691.1,NALCN,ZFHX4-AS1,PPFIA2,KCNMB2-AS1,CCND2,GRIA3,PPP2R2B,KCNQ1OT1,TMEM132C,CARMIL1,HIP1,KCTD8,CADM2,DOCK10,GRIA2,GRID2,KCND3,VCAN,AC009041.2,COL4A4,COL4A3,NPAS3,PCDH15,XKR4,AC011474.1,NLGN4Y,ZDHHC14,CNTNAP2,COLGALT2,AC023282.1,CNTN3,AC037450.1,AC062021.1,PTPRN2,INSYN2A,DGKG,CHST9,NTNG1,CACNG4,PTPRE,DOCK4,SYT16,ADGRL3,LINC00461,KHDRBS3,BCHE,LINC01237,BCAN",,
,Cluster_3,"CFI,SNTG1,PLEKHG1,PRKD1,ETV6,ADAMTS14,SCN1A,EPHA3,SLC1A2,ADCY2,COL8A1,TNIK,LINC01993,TPST1,STOX1,GLI3,GRIA1,GRIK3,GRIN2B,HS3ST3B1,KLHDC8A,LINC00511,LINC01122,IFI16,ILDR2,GALNT17,IMMP2L,KCND3,GAS7,FBXL7,FNDC3B,FMN2,CNTNAP3B,CTNNA3,DCLK2,DOK5,DPF3,DPY19L1,DTNA,EEPD1,ELMOD1,ETV1,F3,FAM126A,LRRTM3,FHIT,FIGN,LRRC4C,A2M,LZTS1,PLCE1,PREX2,PROM1,RFX4,SAMD4A,SCN1A-AS1,SEMA3A,SEMA3E,SETBP1,SIPA1L1,SIPA1L2,SOCS2-AS1,SOX2-OT,STK33,SULF1,TSHZ2,PODXL,PLCB4,MAP3K14,PITPNC1,MCUB,MOXD1,CDH2,MYO5B,NEK6,NPAS3,NR2F2-AS1,NTM,OSMR,P3H2,PARD3B,PCDH9,PDE1C,PDE4B,PDZRN3,MRC2,ZNF385D,ARID5B,AC125613.1,AC002074.1,AL050309.1,AC018616.1,CADM1,AC243829.2,ATRNL1,AC073050.1,AC110023.1,PGM2L1,AC092958.1,PMP22,PMP2,PLSCR1,PLS3,PLPP4,AC103923.1,PGM5,AC109492.1,PLEKHA4,PLD5,PLCH1,PPP1R1C,PLCG2,AC108749.1,PHLDB2,PHLPP1,POT1-AS1,CARMIL1,PRDM16,AC092691.1,RBM20,RAB31,PTPRZ1,PTPRT,PTPRJ,PTPRG,PTPN9,PTN,PTH2R,PTEN,PTCHD1-AS,PTCHD1,PTCH2,PSRC1,PROS1,AC091078.1,AC091646.1,PRKCA,PRKAR2B,PRICKLE2,AC110296.1,PELI2,PDGFRA,PDLIM5,NPSR1,ADAMTS9-AS2,NOX4,NLGN4X,NKAIN3,NHS,NETO2,ADGRA3,NEDD9,NEAT1,NDST3,NCAM2,NAMPT,ADGRL3,MYO3B,MYO1E,MYO16,MYBPC1,MVB12B,MT-CYB,MT-CO3,MT-CO2,NPNT,ADAMTS6,PDGFRL,NR4A3,RELL1,PDGFC,PDE4D,AC116049.2,PCP4,PCGF5,ACSBG1,PARD3,PAPPA2,PAG1,PACRG,ACSS3,OXR1,ADAM23,OSBPL6,NXPH1,NUAK1,NTRK3,ADAM9,NRXN3,NRCAM,RCAN1,RGMA,RETREG1,TMEM178B,TMEM176A,TMEM164,TMEM163,TMEM108,TGFBR2,TENM1",,
,Cluster_4,"ALCAM,GALNT13,DNM3,ADGRL3,MIR181A2HG,SH3D19,NOVA1,GRIK2,GRIA2,GLCCI1,MAP2,ARPP21,PCDH15,FAM110B,EGFR,MAML2,SNTG1,OR4N2,CSMD3,RAB27B,KLRC2,SOX6,AL353784.1,AL512308.1,AC002069.2,GRIA4,PDE10A,CALCRL,ETV1,PTPRZ1,ZEB1,ELMO1,NRXN1,DPP6,MARCH1,LINC02294,AL110292.1,PHLPP1,BEST3,LDLRAD3,DSCAML1,XKR4,UST,CTNNA2,TMEFF2,SOX4,ADAM22,LINC01322,MIR181A1HG,FERMT1,NOL4,GRID2,LHFPL3,AC233296.1,LRRN1,DLL3,CELF2,RAPGEF4,TOX3,RFTN2,HIP1,BRINP3,CHST9,CBLB,SCN3A,CADM2,DLL1,BCHE,DOK6,SLC2A13,IL1RAPL1,NXPH1,VCAN,VIPR2,MDGA2,AC003991.1,AC007402.1,PID1,SCD5,PHYHIPL,NDST4,NTRK3,ELAVL4,MTSS1,SMOC1,DLGAP1-AS4,KCND2,MMP16,DLGAP1,TMEM196,VCAN-AS1,CXXC4,ZNF804A,CDH2,UGT8,SERINC5,EPB41,SEZ6L,CDH10,EPCAM-DT,PIK3R3,NKD1,RNF150,LUZP2,HES6,ERC2,DCX,REV3L,IGF1R,ARL15,C2ORF27A,DGKB,NCAM2,AL445250.1,FGF12,ANTXR1,NCKAP5,FGF14,SLC44A5,AC009041.2,DSCAM,ATRNL1,RBPJ,SLC24A3,TFDP2,FYN,SCN1A,GABRB3,IMMP2L,CRB1,ZNF804B,LRP1B,LINC02488,LINC02283,LINC00689,SPHKAP,CNTN1,ZNF704,PTPRK,KLF12,KHDRBS3,CNTNAP2,KCNQ1OT1,CSMD1,KCNH8,PEAK1,CACNA1A,JAZF1,KAT2B,CSMD2,AC007319.1,ERBB4,CHST11,SOX11,SLC8A3,CDH13,SOX2-OT,OSBPL8,SH3RF1,PCDH11X,CDH20,OPCML,SLC4A7,CCDC178,NLGN4X,AC004852.2,NPAS3,CASK,CNTN3,PAK3,AC013265.1,CASC15,OLIG2,ZNF124,COL11A1,CREB5,DMD,EYS,CDON,FAM117B,MYT1,RNF165,HECW1,AC019197.1,TNR,AL133346.1,MIR4300HG,MEGF11,KLRC3,ADGRA3,ADAMTS6,LDLRAD4,ADAMTS19,PTCH1,LHFPL3-AS1,LINC00511,LINC00609,PPFIA2,LINC01619,AC112493.1",,
,Cluster_5,"ID4,DOCK7,LIFR,ANKFN1,GLIS3,ARHGEF26-AS1,DCLK1,MIR99AHG,ADCY2,SORBS1,RNF19A,PARD3B,GRAMD2B,DCLK2,GFAP,WLS,ABLIM1,TNIK,AC093535.1,BMPR1B,NTRK2,RFX4,PACRG,NKAIN3,LHFPL6,AHCYL1,LRIG1,BBOX1,VCL,EDNRB,SPARCL1,DTNA,ASTN2,DNAH7,ANOS1,LINC01088,PTCHD1-AS,SYTL4,GALNT15,AC073941.1,AC012405.1,ARAP2,PLEKHA5,WDR49,ID3,RGMA,RETREG1,GNG12-AS1,DAPK1,KCNN3,CLU,PITPNC1,COL28A1,CD99,ADGRV1,RASSF4,APOE,AC103923.1,TMEM232,SSBP2,LIMCH1,ITPR2,PPP2R2B,NT5DC3,NEBL,AC068587.4,RTN1,SEMA6A,NOS1AP,AQP4-AS1,GAREM1,EEPD1,EFEMP1,OSBPL11,FRMD5,PLTP,SLC4A4,LINC01138,TLN2,TPST1,CD44,CFAP54,IL33,FMN2,LINC01117,MASP1,NRG3,CNN3,SPON1,ADCY8,VIM,TENM4,AC091826.2,AC234582.1,AC091078.1,AC079385.1,LINC01748,FAM135B,AC092902.4,DPY19L1,AC092924.2,STON2,C8ORF34,CACHD1,SPAG1,KANK1,PRRX1,LINC00882,MAP3K5,C1ORF61,CDH11,ARHGEF26,LIX1,BMP2K,TIMP3,ALDH1L1,ARHGEF4,BCL2,KCNQ5,OBI1-AS1,IFI44L,YAP1,RFX2,NCKAP5,NAA11,VWA3B,FADS2,DMD,SLC16A9,SLC1A3,FAM189A2,MMD2,CTDSPL,PLSCR4,CSGALNACT1,PTPRT,SERPINI2,SNX31,TMTC2,PDE8B,ROBO2,IMMP2L,FIGN,ITGB4,GABRB1,AKAP6,ABCA1,FAT3,FOXO1,SCARA3,GINS3,GALNT17,LINC00836,FAM182B,GJA1,RMST,GPM6A,ITPKB,SLC14A1,ELL2,CCDC80,CFAP43,PRUNE2,CHST9,PSAP,IQGAP2,SLCO1C1,PTPRG,CCDC136,GRIK1,CADPS,HRH1,SLC24A4,SORL1,DNAJC1,HES4,DOK5,ATP1B2,LINC00609,ADCYAP1R1,NPAS3,NFIA-AS2,AC026316.5,PAM,PAPPA,AC099792.1,AC124254.2,PARD3,LYST,TTYH2,MAN2A1,MARCH3,TNC,PDE8A,AL022068.1,PCDH9,PLCE1,AC093305.1,ZFP36L2,LINC01094",,
,Cluster_6,"SOX6,FGF12,CADM2,SMOC1,PDE4B,KIF13A,MAML2,FGF14,COL11A1,VCAN,PLAAT1,ALCAM,MEGF11,UST,GRID2,FYN,VCAN-AS1,DNM3,OPCML,DSCAM,OPHN1,MAP2,TNR,ZNF804A,AL512308.1,GALNT13,MDGA2,GRIA2,ADGRL3,DGKB,SCD5,DLGAP1,LSAMP,TNS3,PKP4,SLC44A1,PHYHIPL,SGK1,SERINC5,LINC00511,FERMT1,CCDC26,P2RX7,DLGAP1-AS5,DLGAP1-AS4,DISC1,SAMHD1,SH3D19,COL20A1,PCDH15,CA10,AFAP1L2,GRIA4,MARCH1,ZEB2,LINC02283,SLC2A13,AC009041.2,ANO3,PDGFC,DSCAML1,RBPJ,NOVA1,SOX10,KCNIP4,BRINP2,BCAS1,PRKCE,AL136114.1,ARPP21,NRCAM,LRP1B,SCN3A,LHFPL3,DGKG,SLC1A1,AC004852.2,GLCCI1,FAM110B,DOCK10,LINC00609,CELF2,MACROD2,RNF150,PHACTR3,RAPGEF4,LUZP2,SIRT2,C2ORF27A,SEMA5B,AC006058.1,IL1RAPL1,ARHGAP22,PTCH1,AL359091.1,JAZF1,KAZN,RBMS3,TMEFF2,AL353784.1,SOX8,SSH2,LIMD1,PODN,FXYD6,UNC80,ERBB4,RTKN,PTPRZ1,DMD,LINC00689,SHROOM4,ETV1,AC110285.1,ERBB3,EYS,AC009227.1,GRIK2,ZBTB16,FAM13C,AC020584.1,CRB1,GPR17,PLPP4,DLL3,POLR2F,PID1,SCN1A,REPS2,EPHB1,KAT2B,DCC,PKP4-AS1,ARHGAP24,SLIT1,ASIC4,ANKRD28,MMP16,RFTN2,IGSF9B,CSMD3,RIN2,SGCD,SOX5,FAM242A,FHIT,RGR,SEMA6D,TMEM132B,TMEM163,TNK2,ZFPM2,LINC01170,LHFPL3-AS1,AL136171.2,VIPR2,TRIM9,PDGFRA,PCDH11X,UGT8,AL139231.1,NTN4,NXPH1,CLEC2D,GRIA3,KHDRBS2,PRICKLE1,SLC35F1,AC068587.4,PTCSC3,TOX,STK32A,DPYSL3,OLIG1,C1QL1,AJAP1,AC068308.1,PTPRJ,LRRTM4,BRINP3,XKR4,NCAM2,CTNNA3,KHDRBS3,OR4N2,ADAMTS20,GPR158,GLRA3,AC096555.1,CDH13,ADAMTS6,CNTN3,AC092821.3,COBL,MB21D2,SCN1A-AS1,RALYL,SOX2-OT,CALCRL,BMPER",,
,Cluster_7,"CAMK2D,MIR4435-2HG,CDK6,CYTOR,CHRM3,RGS6,KIAA1211L,KLHL4,CDH2,HIVEP3,SPRY4,TRIO,ADAMTS9,WWTR1,SPRED2,VAV3,PLAT,SATB2,CHRM3-AS2,SIPA1L1,GAP43,KCNIP1,PCNX2,GRIA3,ILDR2,IL1RAP,AC092691.1,CPNE4,IQGAP2,BCAT1,TRIM9,LRATD1,NOVA1,METTL7B,JAG1,DENND2A,PALM2-AKAP2,SPRED1,NRCAM,FREM2,DPF3,SPATA6,CNKSR2,HS2ST1,TNFRSF12A,GLDC,MYO16,CHL1,CDK14,CDH4,NEK6,STK17A,STK32A,STK32B,MED12L,CAMK2B,ARHGEF26,ARSJ,C6ORF141,GALR1,PTPRZ1,SH3PXD2B,RHOJ,SHROOM3,ITGB8,CREB5,AC092958.1,INSYN2A,LYST,CSMD2,ITGA3,ITGA7,KLHL29,AC124254.2,DPP6,KANK1,ZDHHC14,PREX1,P2RY14,AC004828.2,SLC35F1,CPNE8,TANC1,IGF2BP2,EML4,ADAM19,COL22A1,ACSS3,SRPX,FRMD5,MEIS1,ESR2,SEMA5A,ENC1,SYNJ2,COL4A2,MEG8,SEMA3E,MAP3K1,POSTN,DLC1,DNMBP,ETV5,DEC1,ABCC3,LONRF2,CEMIP,LINC02742,SHISA9,ETV6,MAMLD1,ERI1,FGF14,SNTG1,FNDC3B,CLMN,SPRY2,PRAG1,SLC8A1,LSAMP,LMO2,DNM1,PDE8A,AC087564.1,GRIK2,RCAN1,GRIN2B,ALK,VMP1,AL356124.1,LEF1,HMGA2,HMGA2-AS1,LDLRAD3,IGF2BP3,PCDH7,LAMC1,PCDH9-AS2,TRPM3,ACSBG1,NES,ADGRL3,ADAM12,HS3ST5,ADAMTS9-AS1,MTCL1,UBASH3B,ARHGAP26,RASSF8,AC017002.5,PGAP1,LIMK1,RYR3,AC060834.2,ZMAT4,KCNMA1,SCD5,SAMD4A,RUNX1,NPAS3,AC064875.1,SCG2,GAS2,OSBP2,PDGFA,LAMA4,SLC35F4,EMP1,KCND2,DPYSL5,RFFL,KALRN,ITPR2,LAMA2,SLC1A2,ELOVL2,L3MBTL4,DPY19L1,RBPMS,RGS17,LPAR1,DUSP6,LINC01138,RNF157,PXYLP1,LHFPL6,FBN2,RUBCNL,FGFR1,SH3KBP1,GRB10,GPR158,LINC01798,EPHA3,PTPRJ,GNG12-AS1,PRKD1,PVT1,LINC00266-1,SEMA3A",,
,Cluster_8,"CARNS1,MOBP,ERMN,ST18,PTGDS,TF,FOLH1,NKAIN2,PLEKHH1,MYO1D,PLP1,CTNNA3,CNDP1,MOG,ENPP2,EDIL3,MAP7,MAG,SELENOP,RNF220,AK5,PPP1R14A,CDH19,PEX5L,RNASE1,SLC7A14-AS1,CLDND1,PIP4K2A,APLP1,GSN,SHTN1,SAMD12,CLMN,SPOCK3,SH3TC2,AC090015.1,CLDN11,TMEM144,MYRF,C10ORF90,MBP,DOCK5,ABCA2,UNC5C,AC012494.1,NKX6-2,DBNDD2,VRK2,PLPP2,LINC01608,GRM3,KLK6,QDPR,SEPTIN4,CNP,ANKRD18A,HAPLN2,MTUS1,MAL,CD22,CNTN2,ATP1B1,OPALIN,ST6GALNAC3,FRMD4B,SLC5A11,PIEZO2,COL4A5,CNTNAP4,SLC24A2,IL1RAPL1,CERCAM,APOD,KIRREL3,CDK18,NT5DC1,ASPA,PDE1C,PLD1,HPN-AS1,HHATL,LINC01445,PALM2-AKAP2,DLC1,AATK,TTLL7,SEC14L5,RAPGEF5,TMEM235,TMTC2,TPPP,SLC31A2,GPR37,TUBB4A,SH3TC2-DT,SH3GL3,FA2H,LINC00320,ZNF536,TMEM165,TMEM125,CSRP1,TMEM151A,ATP8A1,NINJ2,BCAS1,LDB3,MAN2A1,LPAR1,LRP2,ABCA8,AC008571.2,AC004690.2,SRCIN1,CA2,SYNJ2,RASGRF1,PLCL1,RASGRP3,SLC22A15,ANLN,GJB1,PLAAT3,PLLP,ADAMTS4,SLC44A1,FAM107B,ITGA2,PPP1R16B,AC009063.2,RASGRF2,DNAJC6,HHIP,DPYD,LINC00639,PPM1H,CLCA4,SPP1,BOK,SLCO3A1,KIF6,NECAB1,TMEM63A,HSPA2,ENO4,CBR1,ELOVL7,HS3ST5,FGFR2,LGI3,KCNK1,FTH1,FUT8,KLHL32,ELMO1,KCNMB4,DLG2,SGK1,PCSK6,SLCO1A2,SEMA4D,SCD,AL033523.1,PWRN1,SOX10,PRR18,AL158077.2,AMER2,ANK3,TRIM59,ANO4,AC079352.1,OTUD7A,LRRC63,UGT8,PCDH9,SLC45A3,ABCA6,AC025810.1,SHROOM4,SLAIN1,GLDN,COBL,AC096564.1,AC098679.5,PDE1A,CPPED1,SLC7A14,AC092058.1,ERBB3,AC018647.1,ADAMTS18,LARP6,MEGF10,OSBPL1A,DAAM2,BEST1,AL359091.1,TRIM2,VWA1",,
,Cluster_9,"UNC5D,DAB1,RGS7,ANK3,GRM7,MEG8,LRRC7,SNHG14,GRM5,MEG3,KCNQ3,NRG3,RBFOX1,PPFIA2,GRIN2B,CACNA1C,ATP8A2,PLPPR4,GABRB1,ANKS1B,KCNC2,TENM2,AL024495.1,KIRREL3,CACNA1E,GABBR2,CAMK2B,LINC01122,SH3GL3,DLG2,DPP10,EDIL3,CNTNAP2,SLC4A10,CNR1,CLSTN2,FAM155A,CELF4,RIMS1,RIMBP2,FRAS1,FRMPD4,CCDC85A,PCLO,KLHL29,MIR137HG,LINGO2,NELL1,NAV3,NTM,SRRM4,MARCH4,MAGI3,NEGR1,CALB2,RAPGEF5,SPTBN4,GABRG2,CACNA1D,WSCD2,PTPRN2,PRLR,BRINP1,GRIA1,BASP1-AS1,GRIP1,VAV3,PPP2R2C,LRRTM4,VAT1L,SORBS2,LYPD6B,RIMS2,HECW1,DGKI,DCC,SHISA9,MYO16,ABLIM2,ZNF536,SGIP1,CSMD3,SEZ6L2,SEZ6L,DYNC1I1,ZNF385D,SCN2A,ZMAT4,CNTN5,ESRRG,CLEC2L,ROBO1,CHL1,CHD5,RIT2,HDAC9,SHANK2,TMEM130,TAFA2,KCNJ3,SYT1,ADGRL4,PLPPR1,KSR2,UNC79,NRG1,SYNPR,ANKRD55,NMNAT2,SYT14,AC117461.1,OLFM3,PLXNA4,KCTD16,PDE4D,HS3ST5,PLXNA2,PAK5,SYN3,FAM135B,NALCN,PDE1A,RUNX1T1,MYT1L,RUNDC3B,ERBB4,KIAA1549L,ERC2,ERICH3,NSG2,KIF16B,ROBO2,KIF26B,EYS,HECW2,SAMD12,SCG2,LINC00882,NYAP2,LINC00355,LIMCH1,DLX5,DLX6,DLX6-AS1,DOCK9,LARGE1,MYRIP,PATJ,DPYD,DSCAML1,PBX1,SEMA3C,PDE1C,SCN3B,NWD2,SCML4,NCAM2,MGAT4C,LINC02263,RMST,GAD1,IGSF3,GALNT18,LINC01344,LY6H,RAB3C,PTPRO,PTPRD,GNAL,PRMT8,GRIK4,GRIN1,GRIN2A,PLPPR3,LRFN2,GRIP2,HUNK,DCX,HMGCLL1,RALYL,IL1RAPL2,PLEKHA5,KCNMA1,FGF13,FGF14,MIAT,HIVEP3,FNBP1L,KCNMB2,NDST3,NDST4,NEDD4L,KCNB2,FRRS1L,RCAN2,RBMS3,MAP3K20-AS1,GABRA2,RASGEF1B,MACROD2",,
